id,survey_result_id,init_level,errors,adjust_level
0,0,0,0,0
1,1,0,0,0
2,2,1,0,1
3,3,1,0,1
4,4,1,0,1
5,5,1,0,1
6,6,2,0,2
7,7,2,0,2
8,8,3,0,3
9,9,3,0,3
10,10,3,0,3
11,11,3,0,3
12,12,3,0,3
13,13,3,0,3
14,14,4,0,4
15,15,4,0,4
16,15,4,4,3
17,13,3,3,2
18,8,3,0,3
19,10,3,4,2
20,11,3,5,2
21,13,3,0,3
22,11,3,5,2
23,14,4,0,4
24,12,3,3,2
25,9,3,5,2
26,0,0,1,0
27,13,3,4,2
28,1,1,1,1
29,13,3,4,2
30,9,3,1,3
31,6,2,2,2
32,1,1,5,1
33,1,1,3,1
34,0,0,0,0
35,15,4,0,4
36,14,4,3,3
37,4,1,0,1
38,12,3,1,3
39,10,3,1,3
40,8,3,0,3
41,0,0,1,0
42,9,3,2,3
43,14,4,5,3
44,0,0,4,0
45,12,3,4,2
46,14,4,1,4
47,15,4,3,3
48,4,1,0,1
49,3,2,0,2
50,8,3,0,3
51,6,2,2,2
52,6,2,1,2
53,10,3,0,3
54,8,3,2,3
55,15,4,4,3
56,10,3,1,3
57,3,2,3,1
58,6,2,4,1
59,15,4,1,4
60,4,1,5,1
61,1,1,5,1
62,8,3,5,2
63,6,2,1,2
64,9,3,4,2
65,9,3,5,2
66,6,2,4,1
67,11,3,3,2
68,1,1,0,1
69,2,1,1,1
70,12,3,2,3
71,13,3,5,2
72,14,4,3,3
73,8,3,3,2
74,12,3,3,2
75,12,3,0,3
76,8,3,5,2
77,1,1,2,1
78,2,1,2,1
79,12,3,4,2
80,0,0,5,0
81,12,3,2,3
82,15,4,2,4
83,6,2,4,1
84,10,3,4,2
85,8,3,2,3
86,6,2,2,2
87,11,3,1,3
88,10,3,5,2
89,8,3,0,3
90,10,3,4,2
91,0,0,3,0
92,4,1,0,1
93,8,3,4,2
94,7,2,5,1
95,14,4,0,4
96,3,2,3,1
97,7,2,2,2
98,12,3,5,2
99,10,3,5,2
100,14,4,0,4
101,12,3,2,3
102,10,3,4,2
103,4,1,3,1
104,7,2,5,1
105,12,3,2,3
106,13,3,4,2
107,0,0,3,0
108,9,3,1,3
109,5,2,0,2
110,1,1,2,1
111,13,3,3,2
112,8,3,5,2
113,13,3,4,2
114,14,4,1,4
115,4,1,4,1
116,4,1,4,1
117,7,2,0,2
118,11,3,2,3
119,0,0,3,0
120,15,4,4,3
121,5,2,2,2
122,2,1,1,1
123,2,1,2,1
124,15,4,2,4
125,5,2,0,2
126,1,1,5,1
127,4,1,4,1
128,14,4,5,3
129,1,1,1,1
130,7,2,1,2
131,10,3,4,2
132,13,3,1,3
133,13,3,5,2
134,6,2,5,1
135,11,3,4,2
136,2,1,3,1
137,3,2,4,1
138,9,3,1,3
139,6,2,5,1
140,5,2,5,1
141,13,3,0,3
142,12,3,1,3
143,10,3,4,2
144,0,0,2,0
145,1,1,4,1
146,14,4,1,4
147,4,1,1,1
148,12,3,0,3
149,3,2,1,2
150,2,1,4,1
151,11,3,4,2
152,15,4,1,4
153,5,2,2,2
154,7,2,1,2
155,2,1,5,1
156,9,3,3,2
157,5,2,3,1
158,14,4,1,4
159,3,2,4,1
160,3,2,5,1
161,11,3,2,3
162,9,3,2,3
163,9,3,5,2
164,15,4,3,3
165,5,2,0,2
166,13,3,0,3
167,15,4,0,4
168,4,1,5,1
169,6,2,1,2
170,1,1,2,1
171,15,4,4,3
172,0,0,3,0
173,13,3,0,3
174,4,1,4,1
175,11,3,1,3
176,2,1,2,1
177,7,2,3,1
178,11,3,2,3
179,0,0,1,0
180,3,2,3,1
181,2,1,0,1
182,1,1,4,1
183,2,1,0,1
184,3,2,1,2
185,13,3,1,3
186,7,2,0,2
187,8,3,3,2
188,8,3,5,2
189,3,2,2,2
190,0,0,4,0
191,10,3,0,3
192,6,2,0,2
193,13,3,0,3
194,6,2,1,2
195,13,3,0,3
196,1,1,2,1
197,8,3,0,3
198,5,2,1,2
199,2,1,1,1
200,8,3,5,2
201,6,2,5,1
202,11,3,3,2
203,1,1,0,1
204,14,4,3,3
205,14,4,1,4
206,0,0,2,0
207,14,4,5,3
208,11,3,0,3
209,12,3,0,3
210,3,2,3,1
211,5,2,1,2
212,15,4,4,3
213,5,2,3,1
214,4,1,2,1
215,6,2,5,1
216,1,1,5,1
217,13,3,1,3
218,3,2,3,1
219,0,0,4,0
220,14,4,5,3
221,1,1,4,1
222,1,1,2,1
223,13,3,4,2
224,12,3,2,3
225,1,1,1,1
226,15,4,2,4
227,14,4,4,3
228,14,4,2,4
229,12,3,3,2
230,10,3,4,2
231,0,0,4,0
232,1,1,4,1
233,9,3,4,2
234,14,4,5,3
235,5,2,2,2
236,4,1,0,1
237,13,3,0,3
238,5,2,2,2
239,6,2,4,1
240,1,1,1,1
241,14,4,2,4
242,2,1,0,1
243,6,2,5,1
244,6,2,1,2
245,13,3,3,2
246,4,1,3,1
247,4,1,4,1
248,6,2,0,2
249,3,2,4,1
250,2,1,1,1
251,12,3,5,2
252,9,3,3,2
253,7,2,0,2
254,8,3,5,2
255,9,3,0,3
256,11,3,5,2
257,0,0,2,0
258,2,1,5,1
259,7,2,3,1
260,12,3,0,3
261,12,3,2,3
262,12,3,4,2
263,8,3,0,3
264,9,3,2,3
265,0,0,4,0
266,6,2,1,2
267,0,0,2,0
268,7,2,1,2
269,12,3,1,3
270,8,3,0,3
271,13,3,4,2
272,12,3,3,2
273,5,2,1,2
274,11,3,3,2
275,0,0,2,0
276,2,1,5,1
